# http://pdg.lbl.gov/2010/AtomicNuclearProperties/MUON_ELOSS_TABLES/muonloss_276.dat
# Incident particle is a   Muon with M =   105.65839 MeV
# Index =  276:  water (liquid) (H%2#O)
#      Absorber with <Z/A> =  0.55509, density = 1.000          
# Sternheimer coef:  a     k=m_s   x_0    x_1    I[eV]   Cbar  delta0 
#                 0.0912  3.4773  0.2400  2.8004   75.0  3.5017 0.00
# ( Restricted energy loss for Tcut =16.64 MeV
# Table written with (1X, 1P9E10.3,0PF8.4,1pE10.3)          post-Born included in pair prod
# *** Results below 10 MeV are not dependable ***
#      T         p     Ionization  brems     pair     photonuc  Radloss    dE/dx   CSDA Range dltterm dE/dx|_R
#    [MeV]    [MeV/c]  -----------------------[MeV cm^2/g]------------------------  [g/cm^2]  --[MeV cm^2/g]--
1.000E+00 1.457E+01 3.059E+00 0.000E+00 0.000E+00 5.009E-05 5.009E-05 6.118E+00 1.841E-03  0.0000 5.054E+01
1.200E+00 1.597E+01 4.361E+01 0.000E+00 0.000E+00 5.018E-05 5.018E-05 4.361E+01 6.115E-03  0.0000 4.361E+01
1.400E+00 1.726E+01 3.848E+01 0.000E+00 0.000E+00 5.028E-05 5.028E-05 3.848E+01 1.101E-02  0.0000 3.848E+01
1.700E+00 1.903E+01 3.285E+01 0.000E+00 0.000E+00 5.042E-05 5.042E-05 3.285E+01 1.948E-02  0.0000 3.285E+01
2.000E+00 2.066E+01 2.877E+01 0.000E+00 0.000E+00 5.056E-05 5.056E-05 2.877E+01 2.926E-02  0.0000 2.877E+01
2.500E+00 2.312E+01 2.399E+01 0.000E+00 0.000E+00 5.080E-05 5.080E-05 2.399E+01 4.838E-02  0.0000 2.399E+01
3.000E+00 2.536E+01 2.068E+01 0.000E+00 0.000E+00 5.103E-05 5.103E-05 2.068E+01 7.090E-02  0.0000 2.068E+01
3.500E+00 2.742E+01 1.824E+01 0.000E+00 0.000E+00 5.126E-05 5.126E-05 1.824E+01 9.671E-02  0.0000 1.824E+01
4.000E+00 2.935E+01 1.638E+01 0.000E+00 0.000E+00 5.150E-05 5.150E-05 1.638E+01 1.257E-01  0.0000 1.638E+01
4.500E+00 3.116E+01 1.489E+01 0.000E+00 0.000E+00 5.173E-05 5.173E-05 1.489E+01 1.577E-01  0.0000 1.489E+01
5.000E+00 3.289E+01 1.369E+01 0.000E+00 0.000E+00 5.197E-05 5.197E-05 1.369E+01 1.928E-01  0.0000 1.369E+01
5.500E+00 3.453E+01 1.268E+01 0.000E+00 0.000E+00 5.220E-05 5.220E-05 1.268E+01 2.308E-01  0.0000 1.268E+01
6.000E+00 3.611E+01 1.184E+01 0.000E+00 0.000E+00 5.244E-05 5.244E-05 1.184E+01 2.716E-01  0.0000 1.184E+01
7.000E+00 3.909E+01 1.048E+01 0.000E+00 0.000E+00 5.291E-05 5.291E-05 1.048E+01 3.616E-01  0.0000 1.048E+01
8.000E+00 4.189E+01 9.448E+00 0.000E+00 0.000E+00 5.338E-05 5.338E-05 9.448E+00 4.622E-01  0.0000 9.448E+00
9.000E+00 4.453E+01 8.629E+00 0.000E+00 0.000E+00 5.385E-05 5.385E-05 8.629E+00 5.731E-01  0.0000 8.629E+00
1.000E+01 4.704E+01 7.965E+00 0.000E+00 0.000E+00 5.432E-05 5.432E-05 7.965E+00 6.939E-01  0.0000 7.965E+00
1.200E+01 5.177E+01 6.951E+00 0.000E+00 0.000E+00 5.526E-05 5.526E-05 6.951E+00 9.635E-01  0.0000 6.951E+00
1.400E+01 5.616E+01 6.213E+00 0.000E+00 0.000E+00 5.620E-05 5.620E-05 6.213E+00 1.269E+00  0.0000 6.213E+00
